Timestamp,DATE,SHIFT,MACHINE NO.,PROBLEM TYPE,MECHANICAL ACTION,ELECTRICAL,TOOLING,SLANT LEADS,DAMAGED AIRCOIL,STRIPPING,UNEVEN WINDING,RED LEAD,START DOWN,START REPAIR,JOB COMPLETE,VERIFY PERSON,VERIFY STATUS,REMARK
1/7/2022 8:20,1/7/2022,DAY,CNC 1,SLANT LEADS,,,,ADJUST SLIDER/ PROGRAM,,,,,8:00:00 AM,8:00:00 AM,8:10:00 AM,AMIR SYAFIQ,OK,N/A
1/7/2022 8:21,1/7/2022,DAY,CNC 11,SLANT LEADS,,,,ADJUST SLIDER/ PROGRAM,,,,,8:00:00 AM,8:10:00 AM,8:20:00 AM,AMIR SYAFIQ,OK,N/A
1/24/2022 8:37:12,1/24/2022,DAY,CNC 5,UNEVEN WINDING,,,,,,,ADJUST PROGRAM WINDING,,8:00:00 AM,8:06:00 AM,8:35:00 AM,AIZAT,OK,N/A
1/26/2022 2:03:14,1/25/2022,NIGHT,CNC 5,SLANT LEADS,,,,ADJUST SLIDER/ PROGRAM,,,,,12:45:00 AM,1:00:00 AM,2:00:00 AM,HALIM,OK,N/A
1/26/2022 3:31:10,1/25/2022,NIGHT,CNC 10,SLANT LEADS,,,,ADJUST SLIDER/ PROGRAM,,,,,1:00:00 AM,3:00:00 AM,3:30:00 AM,HALIM,OK,N/A
1/26/2022 3:48:57,1/25/2022,NIGHT,CNC 5,MECHANICAL,No idea,,,,,,,,3:00:00 AM,3:00:00 AM,3:45:00 AM,HALIM,OK,N/A
1/26/2022 12:20:06,1/26/2022,DAY,CNC 4,TOOLING,,,Oiling the silinder,,,,,,11:00:00 AM,12:00:00 PM,12:30:00 PM,AIZAT,OK,N/A
2/6/2022 22:11,2/6/2022,NIGHT,CNC 11,SLANT LEADS,,,,ADJUST TENSION WIRE (CUTTER STUCK),,,,,9:15:00 PM,9:50:00 PM,10:05:00 PM,FITRI,OK,N/A
2/8/2022 1:55,2/8/2022,NIGHT,CNC 1,STRIPPING,,,,,,REPLACE MICROGRINDER,,,1:30:00 AM,1:35:00 AM,1:57:00 AM,FITRI,OK,N/A
2/8/2022 2:13,2/8/2022,NIGHT,CNC 11,SLANT LEADS,,,,ADJUST SLIDER/ PROGRAM,,,,,1:00:00 AM,1:58:00 AM,2:10:00 AM,FITRI,OK,N/A
2/10/2022 1:19,2/10/2022,NIGHT,CNC 16,STRIPPING,,,,,,ADJUST STRIPPING BLOCK,,,1:00:00 AM,1:05:00 AM,1:20:00 AM,FITRI,OK,N/A
2/10/2022 1:29,2/10/2022,NIGHT,CNC 13,MECHANICAL,Finding problem,,,,,,,,1:00:00 AM,1:20:00 AM,1:30:00 AM,FITRI,OK,N/A
2/16/2022 9:30:26,2/16/2022,DAY,CNC 2,STRIPPING,,,,,,REPLACE MICROGRINDER,,,8:30:00 AM,8:45:00 AM,9:10:00 AM,AIZAT,OK,N/A
3/11/2022 9:07,3/11/2022,DAY,CNC 1,STRIPPING,,,,,,REPLACE MICROGRINDER,,,8:20:00 AM,8:25:00 AM,9:05:00 AM,RIZAL,OK,N/A
3/18/2022 15:18:36,3/18/2022,DAY,CNC 16,UNEVEN WINDING,,,,,,,ALIGNMENT WIRE TOOLING,,12:00:00 PM,2:30:00 PM,3:20:00 PM,AIZAT,OK,N/A
3/22/2022 11:02:33,3/22/2022,DAY,CNC 14,UNEVEN WINDING,,,,,,,,,9:00:00 AM,9:15:00 AM,11:00:00 AM,AIZAT,OK,N/A
3/25/2022 1:17:00,3/24/2022,NIGHT,CNC 7,SLANT LEADS,,,,ADJUST SLIDER/ PROGRAM,,,,,8:00:00 PM,8:15:00 PM,9:00:00 PM,HALIM,OK,N/A
3/25/2022 3:30:00,3/24/2022,NIGHT,CNC 2,STRIPPING,,,,,,ADJUST STRIPPING BLOCK,,,11:45:00 PM,12:30:00 AM,2:50:00 AM,HALIM,OK,N/A
3/25/2022 8:29:49,3/24/2022,DAY,CNC 10,TOOLING,,,File chuck,,,,,,8:00:00 AM,8:00:00 AM,1:00:00 PM,AMIR SYAFIQ,OK,N/A
3/25/2022 12:03:55,3/24/2022,DAY,CNC 8,TOOLING,,,File chuck,,,,,,8:00:00 AM,8:00:00 AM,3:00:00 PM,AMIR SYAFIQ,OK,N/A
3/25/2022 12:04:51,3/25/2022,DAY,CNC 8,TOOLING,,,File chuck,,,,,,8:00:00 AM,8:00:00 AM,10:30:00 AM,AMIR SYAFIQ,OK,N/A
